"Story","Title","Result","Date","Stability","Duration (s)"
"Product","GET - As admin I have be able to get all products","ERROR","2023-05-09T20:57:01.8281716+07:00[Asia/Jakarta]","0.0","50.84"
"Product","POST - As admin I have be able to create a new product","SUCCESS","2023-05-09T20:57:52.7573175+07:00[Asia/Jakarta]","0.0","9.39"
"Product","GET - As admin I have be able to get products by ID","FAILURE","2023-05-09T20:58:02.202223+07:00[Asia/Jakarta]","0.0","0.61"
"Product","DELETE - As admin I have be able to delete product","SUCCESS","2023-05-09T20:58:02.883813+07:00[Asia/Jakarta]","0.0","0.99"
